UNITID,Year,INSTNM,State,Total_Students,Known_Students,Unknown_Students,In_State_Students,Out_State_Students,Foreign_Students,US_Students,Avg_Cost,Median_HH_Income
110529,2016,California State Polytechnic University-Pomona,CA,4204,4204,0,4037,60,107,4097,22365,68064.96
122597,2016,San Francisco State University,CA,3642,3642,0,3514,23,105,3537,24513,77495.51
110608,2016,California State University-Northridge,CA,4499,4499,0,4342,52,105,4394,19794,64055.44
139940,2016,Georgia State University,GA,3935,3929,6,3449,376,104,3825,27206,72190.32
229115,2016,Texas Tech University,TX,4762,4760,2,4369,295,96,4664,23191,65284.89
228246,2016,Southern Methodist University,TX,1522,1515,7,585,834,96,1419,76346,82038.46
223232,2016,Baylor University,TX,3503,3496,7,2266,1137,93,3403,65222,73627.32
163295,2016,Maryland Institute College of Art,MD,351,351,0,57,203,91,260,66413,80395.11
204501,2016,Oberlin College,OH,762,760,2,52,618,90,670,77124,76190.1
207971,2016,University of Tulsa,OK,717,717,0,354,275,88,629,58637,62928.78
131520,2016,Howard University,DC,901,901,0,14,802,85,816,45971,66680.2
218663,2016,University of South Carolina-Columbia,SC,5110,5110,0,2391,2635,84,5026,28602,62188.24
206084,2016,University of Toledo,OH,3380,3373,7,2637,653,83,3290,25118,60626.38
227368,2016,The University of Texas Rio Grande Valley,TX,3944,3944,0,3844,17,83,3861,14250,35906.7
220978,2016,Middle Tennessee State University,TN,2893,2893,0,2567,244,82,2811,21241,60340.43
207388,2016,Oklahoma State University-Main Campus,OK,4156,4032,124,2622,1329,81,3951,23906,55237.91
109651,2016,Art Center College of Design,CA,211,211,0,111,20,80,131,66046,74131.88
110671,2016,University of California-Riverside,CA,5358,5357,1,5239,39,79,5278,30561,68292.12
211273,2016,Bryn Mawr College,PA,407,407,0,47,281,79,328,73540,78969.24
122931,2016,Santa Clara University,CA,1317,1317,0,735,504,78,1239,74297,93581.09
111948,2016,Chapman University,CA,1516,1515,1,929,510,76,1439,74336,73437.32
217235,2016,Johnson & Wales University-Providence,RI,2025,2021,4,299,1647,75,1946,51167,68856.12
121150,2016,Pepperdine University,CA,743,723,20,319,331,73,650,75312,79068.51
157085,2016,University of Kentucky,KY,5117,5112,5,3124,1915,73,5039,30178,59287.73
181394,2016,University of Nebraska at Omaha,NE,2065,2063,2,1795,195,73,1990,19797,66043.01
221759,2016,The University of Tennessee-Knoxville,TN,4851,4848,3,3980,796,72,4776,32010,60752.93
211291,2016,Bucknell University,PA,950,950,0,150,728,72,878,75400,84046.3
203517,2016,Kent State University at Kent,OH,4347,4341,6,3453,817,71,4270,25836,59479.84
150534,2016,University of Evansville,IN,537,535,2,290,175,70,465,50986,61532.75
131159,2016,American University,DC,1683,1652,31,19,1563,70,1582,66416,81657.17
150455,2016,Earlham College,IN,355,352,3,77,206,69,283,61156,66410.88
228875,2016,Texas Christian University,TX,1888,1881,7,819,993,69,1812,68072,76266.48
433660,2016,Florida Gulf Coast University,FL,2631,2624,7,2139,417,68,2556,18151,62394.85
182281,2016,University of Nevada-Las Vegas,NV,3859,3850,9,3116,667,67,3783,18756,70070.97
162283,2016,Coppin State University,MD,393,388,5,254,67,67,321,17787,54222.17
217165,2016,Bryant University,RI,843,843,0,92,684,67,776,62855,80219.8
202480,2016,University of Dayton,OH,1827,1827,0,773,987,67,1760,60900,75690.27
130590,2016,Trinity College,CT,572,572,0,76,430,66,506,76850,81265.21
157447,2016,Northern Kentucky University,KY,2147,2147,0,1497,584,66,2081,17869,63568.77
156365,2016,Campbellsville University,KY,598,598,0,448,86,64,534,38502,47586.61
139959,2016,University of Georgia,GA,5433,5433,0,4763,607,63,5370,27329,71225.06
215655,2016,Robert Morris University,PA,884,881,3,672,147,62,819,47724,59274.33
110574,2016,California State University-East Bay,CA,1596,1596,0,1525,9,62,1534,23357,78750.43
139931,2016,Georgia Southern University,GA,3600,3599,1,3371,167,61,3538,22608,62772.56
198969,2016,Methodist University,NC,485,485,0,270,156,59,426,55751,58239.21
159391,2016,Louisiana State University and Agricultural & Mechanical College,LA,5475,5467,8,4429,980,58,5409,32724,57504.74
112260,2016,Claremont McKenna College,CA,321,321,0,120,144,57,264,76475,82855.72
230959,2016,Middlebury College,VT,606,584,22,27,501,56,528,74248,77169.17
110592,2016,California State University-Los Angeles,CA,3830,3830,0,3760,14,56,3774,15307,52850.08
